car:auto
dog:pies
cat:kot
house:dom
tree:drzewo
book:książka
chair:krzesło
table:stół
water:woda
food:jedzenie
apple:jabłko
boy:chłopiec
girl:dziewczyna
school:szkoła
city:miasto
flower:kwiat
bird:ptak
road:ulica
mother:matka
father:ojciec
sun:słońce
moon:księżyc
star:gwiazda
pen:długopis
computer:komputer
phone:telefon
shirt:koszula
shoe:but
door:drzwi
window:okno
bag:torba
wall:ściana
bed:łóżko
hand:dłoń
foot:stopa
head:głowa
eye:oko
ear:ucho
mouth:usta
nose:nos
hair:włosy
river:rzeka
lake:jezioro
mountain:góra
forest:las
fish:ryba
cow:krowa
horse:koń
milk:mleko
bread:chleb
cheese:ser
egg:jajo
cake:ciasto
butter:masło
salt:sól
sugar:cukier
time:czas
day:dzień
night:noc
week:tydzień
year:rok
friend:przyjaciel
family:rodzina
love:miłość
music:muzyka
movie:film
game:gra
money:pieniądze
country:kraj
language:język
fire:ogień
air:powietrze
earth:ziemia
sky:niebo
wind:wiatr
rain:deszcz
snow:śnieg
cloud:chmura
heart:serce
brain:mózg
leg:noga
finger:palec
neck:szyja
face:twarz
smile:uśmiech
cry:płacz
laugh:śmiech
street:ulica
bike:rower
bus:autobus
train:pociąg
plane:samolot
boat:łódź
doorbell:domofon
garden:ogród
kitchen:kuchnia
bathroom:łazienka
bedroom:sypialnia
schoolbag:plecak
key:klucz
clock:zegarek
mirror:lustro
camera:aparat
lamp:lampka
sofa:kanapa
television:telewizor
windowpane:szyba
