dog:pies
cat:kot
bird:ptak
fish:ryba
horse:koń
cow:krowa
pig:świnia
sheep:owca
goat:koza
rabbit:królik
mouse:mysz
rat:szczur
fox:lis
wolf:wilk
bear:niedźwiedź
lion:lew
tiger:tygrys
elephant:słoń
giraffe:żyrafa
zebra:zebra
monkey:małpa
ape:człekokształtny
chimpanzee:szympans
kangaroo:kangur
koala:koala
deer:jeleń
squirrel:wiewiórka
hedgehog:jeż
otter:wydra
badger:borsuk
raccoon:szop pracz
skunk:skunks
mole:kret
bat:nietoperz
seal:foka
whale:wieloryb
dolphin:delfin
shark:rekin
crab:krab
lobster:homar
octopus:ośmiornica
squid:mątwa
frog:żaba
toad:ropucha
snake:wąż
lizard:jaszczurka
turtle:żółw
crocodile:krokodyl
alligator:aligator
eagle:orzeł
hawk:jastrząb
owl:sowa
crow:wrona
sparrow:wróbel
pigeon:gołąb
swan:łabędź
duck:kaczka
goose:gęś
chicken:kurczak
turkey:indyk
peacock:paw
parrot:papuga
flamingo:flaming
penguin:pingwin
woodpecker:dzięcioł
beaver:bóbr
camel:wielbłąd
donkey:osioł
mule:muł
buffalo:bawół
bison:bizon
elk:łos
moose:łoś
antelope:antylopa
hippopotamus:hipopotam
rhinoceros:nosorożec
cheetah:gepardy
jaguar:jaguar
panther:puma
hyena:hiena
lemur:lemur
platypus:dziobak
wombat:wombat
possum:opos
armadillo:pancernik
sloth:leniwiec
meerkat:surikatka
prairie dog:pies preriowy
guinea pig:świnka morska
chinchilla:szynszyla
canary:kanarek
goldfish:złota rybka
tarantula:tarantula
scorpion:skorpion
clam:małż
mussel:omłot
seahorse:konik morski
starfish:rozgwiazda
jellyfish:meduza
cockroach:karaluch
